REGION,PROVINCIA,DISTRITO,CENTRO,DIRECCION
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO CAMPO DEPORTIVO CONQUISTADORES,AV FAUCETT CUADRA 6 SN
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO CAMPO DEPORTIVO CAMARONES,JR CAMARONES SN
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 4015 AUGUSTO SALAZAR BONDY,JR ANGEL QUISPE 350
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 5030 TNTE CRNEL LEOPOLDO PEREZ SALMON,AV LOPEZ PAZOS 203
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 5041 NUESTRA SEÃORA DE MONTE CARMELO,JR LORETO SN
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 5043 SAN MARTIN DE PORRES,JR LIMA SN
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 5044 BANDERA DE LA PAZ,AV LOPEZ PAZOS 803
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE RAUL PORRAS BARRENECHEA,JR LIMA SN
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 88 CRISTO MILAGROSO,JR JORGE CHAVEZ 600
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IEP REGINA PACIS PRIMARIA,JR INDEPENDENCIA 199
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO IE 5035 SAN RAFAEL,AV JOSE SANTOS CHOCANO 788
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO CEBE VIRGEN DEL CARMEN,AV LOPEZ PAZOS 851
CALLAO,CALLAO,CARMEN,DE LA LEGUA-REYNOSO 65 - MI NIÃO JESUS,JR ABEL CALLIRGOS 336
CALLAO,CALLAO,LA,PERLA STELLA MARIS,CALLE GRITO DE HUAURA 308
CALLAO,CALLAO,LA,PERLA ESTADIO CAMPOLO ALCALDE,AV HAYA DE LA TORRE SN
CALLAO,CALLAO,LA,PERLA LEONCIO PRADO,AV. COSTANERA 1541 LA PERLA CALLAO
CALLAO,CALLAO,LA,PERLA CEBE LUISA SOLOGUREN DE SABOGAL,AV LA MARINA CUADRA 40 SN
CALLAO,CALLAO,LA,PERLA IE 4004 SAN MARTIN DE PORRES,JR LINCOLN 351
CALLAO,CALLAO,LA,PERLA IE 5027 ARTURO TIMORAN HALTENHOFF PSJE FELIX SN,
CALLAO,CALLAO,LA,PERLA IE 5028 SANTA RITA DE CASIA,AV JOSE GALVEZ 102
CALLAO,CALLAO,LA,PERLA IE 4005 ALMIRANTE MIGUEL GRAU SEMINARIO,AV LA PAZ 1000
CALLAO,CALLAO,LA,PERLA CEBE LA PERLA PSJE JUAN XXIII 143,
CALLAO,CALLAO,LA,PERLA IEP CONCORDIA UNIVERSAL - SECUNADARIA,AV SANTA ROSA 448
CALLAO,CALLAO,LA,PERLA IEP JHON F KENEDY,JR. TUPAC AMARU 1095 LA PERLA
CALLAO,CALLAO,LA,PERLA IE PARROQUIAL SAN JOSE,AV MARISCAL CASTILLA CUADRA 8 SN
CALLAO,CALLAO,LA,PERLA IE JOSE OLAYA BALANDRA,JR ATAHUALPA CUADRA 7 SN
CALLAO,CALLAO,LA,PERLA IEP LICEO NAVAL CAP DE NAVIO GERMAN ASTETE,CALLE JUAN J PARDO SN
CALLAO,CALLAO,LA,PERLA CEP CONCORDIA UNIVERSAL,JR HUASCAR 1400
CALLAO,CALLAO,VENTANILLA,120 LAS CASUARINAS,MZ R1 LOTE 03 SECTOR C4 PACHACUTEC
CALLAO,CALLAO,VENTANILLA,122 CARITAS FELICES,CALLE SN MZ P LOTE 2 SECTOR D
CALLAO,CALLAO,VENTANILLA,123 VIRGEN DE LA ASUNCION,CALLE SN MZ N1 LOTE 6 SECTOR E
CALLAO,CALLAO,VENTANILLA,126,MZ M LOTE 19 AAHH LOS LICENCIADOS PRIMER SECTOR
CALLAO,CALLAO,VENTANILLA,128 NIÃO JESUS DE PRAGA,MZ K LOTE 1 AAHH HEROES DEL CENEPA PACHACUTEC
CALLAO,CALLAO,VENTANILLA,132 SAGRADO CORAZON DE JESUS 26,MZ C LOTE 8 PRIMER SECTOR
CALLAO,CALLAO,VENTANILLA,133 DIVINA PASTORA PSJE JHONNY WATTSON SN SEGUNDO SECTOR URB ANTONIA MORENO DE CACERES,
CALLAO,CALLAO,VENTANILLA,155 SAN MIGUEL ARCANGEL SEGUNDO SECTOR A,MZ I LT 01 PACHACUTEC
CALLAO,CALLAO,VENTANILLA,IE LICEO NAVAL CAPITAN DE CORBETA MANUEL CLAVERO MUGA,AV MERCURIO SN
CALLAO,CALLAO,VENTANILLA,5096,AV CARLOS VILLANUEVA SN ZONA 3
CALLAO,CALLAO,VENTANILLA,5117 JORGE PORTOCARRERO REBAZA,MZ M SECTOR E COOP KAWACHI
CALLAO,CALLAO,VENTANILLA,5120 JOSE CARLOS MARIATEGUI LA CHIRA,AV ALFONSO UGARTE SN
CALLAO,CALLAO,VENTANILLA,5123 FRANCISCO BOLOGNESI CERVANTES,AV ARQUITECTOS SN
CALLAO,CALLAO,VENTANILLA,5125 CASUARINAS,JR LAS VIOLETAS SN MZ A LOTE 1
CALLAO,CALLAO,VENTANILLA,5128 SAGRADO CORAZON DE MARIA,MZ M1 LOTE 2 SECTOR E PROYECTO ESPECIAL PACHACUTEC
CALLAO,CALLAO,VENTANILLA,5130-3 VICTOR RAUL HAYA DE LA TORRE,AV 11 DE AGOSTO SN
CALLAO,CALLAO,VENTANILLA,IE VIRGEN DE FATIMA,AV PEDRO BELTRAN SN
CALLAO,CALLAO,VENTANILLA,5138,AV JOSE DE SAN MARTIN MZ M3 LOTE 09
CALLAO,CALLAO,VENTANILLA,5140 PRESIDENTE DE LA REPUBLICA DE COLOMBIA - DR ALVARO URIBE VELEZ,MZ L LOTE 1 CUARTO SECTOR G
CALLAO,CALLAO,VENTANILLA,5141 DIVINO MAESTRO,AV BOLIVIA SN MZ K2 LOTE 04
CALLAO,CALLAO,VENTANILLA,5142 VIRGEN DE GUADALUPE,MZ C LOTE 01 GRUPO 2 BARRIO XV AAHH VIRGEN DE GUADALUPE
